biome_id,x,z,surface_y,is_block_coord
minecraft:plains,-1672,-2016,60,true
minecraft:plains,576,-2008,60,true
minecraft:forest,-848,-2004,60,true
minecraft:forest,-844,-2004,60,true
minecraft:forest,-844,-2000,60,true
minecraft:plains,-1836,-1976,60,true
minecraft:plains,-1836,-1972,60,true
minecraft:plains,-1836,-1968,60,true
minecraft:plains,-1836,-1964,60,true
minecraft:plains,-1512,-1976,60,true
minecraft:plains,-1508,-1976,60,true
minecraft:forest,-840,-1976,60,true
minecraft:forest,-840,-1972,60,true
minecraft:forest,-840,-1964,64,true
minecraft:forest,-840,-1960,64,true
minecraft:forest,-844,-1960,64,true
minecraft:forest,-844,-1956,64,true
minecraft:forest,-844,-1952,64,true
minecraft:forest,-844,-1948,64,true
minecraft:forest,-844,-1944,64,true
minecraft:forest,-848,-1944,64,true
minecraft:forest,-844,-1940,64,true
minecraft:forest,-848,-1940,64,true
minecraft:forest,-844,-1936,60,true
minecraft:forest,-848,-1936,64,true
minecraft:forest,-844,-1932,60,true
minecraft:forest,-844,-1928,64,true
minecraft:forest,-844,-1924,60,true
minecraft:forest,-848,-1924,64,true
minecraft:forest,-844,-1920,60,true
minecraft:forest,-844,-1916,60,true
minecraft:plains,-1840,-1960,60,true
minecraft:plains,-1840,-1956,60,true
minecraft:plains,-1844,-1956,60,true
minecraft:plains,-1840,-1952,60,true
minecraft:plains,-1844,-1952,60,true
minecraft:plains,-1840,-1948,60,true
minecraft:plains,-1844,-1948,60,true
minecraft:plains,-1848,-1948,60,true
minecraft:plains,-1844,-1944,60,true
minecraft:plains,-1852,-1948,60,true
minecraft:plains,-1848,-1944,60,true
minecraft:plains,-1844,-1940,60,true
minecraft:plains,-1848,-1940,60,true
minecraft:plains,-1844,-1936,60,true
minecraft:plains,-1848,-1936,60,true
minecraft:plains,-1844,-1932,60,true
minecraft:plains,-1848,-1932,60,true
minecraft:plains,-1844,-1928,60,true
minecraft:plains,-1848,-1928,60,true
minecraft:plains,-1844,-1924,60,true
minecraft:plains,-1848,-1924,60,true
minecraft:plains,-1840,-1924,60,true
minecraft:plains,-1844,-1920,60,true
minecraft:plains,-1848,-1920,60,true
minecraft:plains,-1840,-1920,60,true
minecraft:plains,-1844,-1916,60,true
minecraft:plains,-1840,-1916,60,true
minecraft:plains,-1844,-1912,60,true
minecraft:plains,-1840,-1912,60,true
minecraft:plains,-1844,-1908,64,true
minecraft:plains,-1836,-1912,60,true
minecraft:plains,-1840,-1908,60,true
minecraft:plains,-1844,-1904,64,true
minecraft:plains,-1836,-1908,60,true
minecraft:plains,-1840,-1904,64,true
minecraft:taiga,-264,-1948,72,true
minecraft:forest,140,-1924,68,true
minecraft:forest,-844,-1908,60,true
minecraft:forest,-844,-1904,60,true
minecraft:forest,-844,-1900,60,true
minecraft:taiga,-712,-1904,60,true
minecraft:taiga,-256,-1904,68,true
minecraft:taiga,-256,-1900,68,true
minecraft:taiga,-252,-1900,68,true
minecraft:taiga,-256,-1896,68,true
minecraft:taiga,-252,-1896,76,true
minecraft:taiga,-252,-1892,68,true
minecraft:taiga,-248,-1892,88,true
